,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
405,Austin Reaves,SG,24,LAL,64,22,1843,259,490,86,216,173,274,229,265,33,160,193,215,33,19,99,108,833
406,Cam Reddish,SF,23,TOT,40,20,990,139,312,45,144,94,168,64,75,18,70,88,57,39,14,47,72,387
407,Davon Reed,SG,27,TOT,43,1,342,28,84,17,46,11,38,16,24,10,49,59,23,15,4,20,39,89
408,Paul Reed,C,23,PHI,69,2,755,124,209,1,6,123,203,38,51,112,150,262,27,46,51,45,123,287
409,Naz Reid,C,23,MIN,68,11,1251,310,577,75,217,235,360,86,127,73,260,333,77,42,53,92,176,781
410,Jared Rhoden,SG,23,DET,14,0,198,17,44,5,20,12,24,6,6,11,26,37,4,4,1,3,23,45
411,Nick Richards,C,25,CHO,65,9,1217,197,313,1,1,196,312,137,183,147,269,416,38,11,71,59,154,532
412,Josh Richardson,SG,29,TOT,65,10,1530,239,554,107,293,132,261,69,81,41,134,175,174,69,20,86,117,654
413,Austin Rivers,SG,30,MIN,52,10,1016,91,209,43,123,48,86,30,39,5,78,83,75,28,4,23,80,255
414,Duncan Robinson,SF,28,MIA,42,1,691,88,237,63,192,25,45,29,32,8,61,69,46,14,0,28,77,268
415,Mitchell Robinson,C,24,NYK,59,58,1591,188,280,0,0,188,280,59,122,267,288,555,53,56,109,41,160,435
416,Orlando Robinson,C,22,MIA,31,1,425,47,89,0,6,47,83,22,31,48,78,126,25,12,12,16,53,116
417,Jeremiah Robinson-Earl,PF,22,OKC,43,20,814,110,248,37,111,73,137,35,42,71,109,180,43,24,11,19,71,292
418,Isaiah Roby,PF,24,SAS,42,2,474,67,155,18,60,49,95,20,41,21,86,107,38,18,7,31,53,172
419,David Roddy,PF,21,MEM,70,4,1258,180,420,65,212,115,208,41,65,50,143,193,59,29,19,57,107,466
420,Ryan Rollins,PG,20,GSW,12,0,62,7,20,3,9,4,11,6,6,3,9,12,6,1,1,16,10,23
421,Derrick Rose,PG,34,NYK,27,0,338,61,159,19,63,42,96,11,12,8,32,40,46,7,5,22,18,152
422,Terrence Ross,SG,31,TOT,63,9,1330,200,465,95,258,105,207,27,34,22,132,154,95,35,10,43,97,522
423,Terry Rozier,SG,28,CHO,63,63,2221,493,1188,165,505,328,683,178,220,51,208,259,319,74,16,134,119,1329
424,Ricky Rubio,PG,32,CLE,33,2,566,61,178,21,82,40,96,28,35,9,61,70,115,26,6,31,51,171
425,D'Angelo Russell,PG,26,TOT,71,71,2304,445,948,194,490,251,458,179,216,35,180,215,437,70,29,186,140,1263
426,Matt Ryan,SF,25,TOT,34,0,310,40,108,32,84,8,24,10,12,4,22,26,16,5,1,7,27,122
427,Domantas Sabonis,C,26,SAC,79,79,2736,577,938,31,83,546,855,325,438,251,722,973,573,65,39,230,279,1510
428,Luka Šamanić,PF,23,UTA,7,4,161,26,57,8,31,18,26,9,13,0,30,30,15,6,2,10,17,69
429,Dario Šarić,PF-C,28,TOT,57,12,806,127,277,45,115,82,162,63,76,53,154,207,74,20,7,55,99,362
430,Olivier Sarr,C,23,OKC,9,1,114,15,30,1,8,14,22,5,7,12,19,31,4,1,5,4,17,36
431,Jordan Schakel,SF,24,WAS,2,0,6,1,2,1,1,0,1,0,0,0,0,0,1,1,0,0,1,3
432,Admiral Schofield,PF,25,ORL,37,0,451,55,122,24,74,31,48,21,23,23,39,62,31,8,5,16,61,155
433,Dennis Schröder,PG,29,LAL,66,50,1986,270,650,74,225,196,425,216,252,21,144,165,298,50,10,112,145,830
434,Jay Scrubb,SG,22,ORL,2,0,30,5,7,2,2,3,5,1,2,0,6,6,1,2,0,3,2,13
435,Dereon Seabron,SG,22,NOP,5,0,12,2,5,0,0,2,5,0,0,1,0,1,0,0,0,0,1,4
436,Alperen Şengün,C,20,HOU,75,72,2171,442,799,19,57,423,742,206,288,242,436,678,291,70,70,193,258,1109
437,Collin Sexton,PG,24,UTA,48,15,1145,237,468,48,122,189,346,163,199,37,68,105,138,27,6,85,112,685
438,Landry Shamet,SG,25,PHO,40,9,807,113,300,75,199,38,101,45,51,11,56,67,93,26,5,36,61,346
439,Day'Ron Sharpe,C,21,BRK,48,3,552,93,171,6,11,87,160,35,55,99,101,200,37,15,32,42,89,227
440,Shaedon Sharpe,SG,19,POR,80,15,1779,306,648,102,283,204,365,75,105,63,173,236,94,38,24,83,136,789
441,Pascal Siakam,PF,28,TOR,71,71,2652,630,1313,93,287,537,1026,367,474,131,425,556,415,65,36,169,228,1720
442,Chris Silva,PF,26,DAL,1,0,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2
443,Ben Simmons,PG,26,BRK,42,33,1105,133,235,0,2,133,233,25,57,40,223,263,256,54,24,97,139,291
444,Kobi Simmons,SG,25,CHO,5,0,28,1,6,1,5,0,1,2,2,1,3,4,5,0,2,1,0,5
445,Marko Simonovic,C,23,CHI,7,0,20,2,7,1,4,1,3,1,2,1,1,2,0,0,0,0,5,6
446,Anfernee Simons,SG,23,POR,62,62,2171,467,1045,212,562,255,483,160,179,18,143,161,253,42,14,128,142,1306
447,Jericho Sims,C,24,NYK,52,16,812,83,107,0,1,83,106,12,16,99,143,242,25,15,28,27,96,178
448,Marcus Smart,PG,28,BOS,61,61,1957,250,602,115,342,135,260,88,118,46,145,191,382,93,23,143,172,703
449,Dennis Smith Jr.,PG,25,CHO,54,15,1390,186,452,24,111,162,341,78,106,27,140,167,261,75,25,82,122,474
450,Dru Smith,SG,25,TOT,15,1,158,18,45,5,19,13,26,3,3,2,22,24,22,10,4,3,23,44
451,Ish Smith,PG,34,DEN,43,0,398,52,131,2,12,50,119,2,4,5,49,54,100,8,7,44,33,108
452,Jabari Smith Jr.,PF,19,HOU,79,79,2451,364,892,120,391,244,501,162,206,122,447,569,101,43,74,104,227,1010
453,Jalen Smith,C,22,IND,68,31,1279,242,508,54,191,188,317,104,137,129,265,394,66,21,60,72,153,642
454,Xavier Sneed,SF,25,CHO,4,0,48,5,10,3,6,2,4,4,4,0,5,5,5,0,1,3,7,17
455,Jeremy Sochan,PF,19,SAS,56,53,1458,250,552,33,134,217,418,81,116,95,200,295,142,43,23,97,138,614
456,Jaden Springer,SG,20,PHI,16,2,89,17,35,2,5,15,30,6,8,6,8,14,8,7,3,3,15,42
457,Lamar Stevens,SF,25,CLE,62,25,1120,129,288,30,95,99,193,40,57,48,159,207,33,27,19,27,79,328
458,Isaiah Stewart,C,21,DET,50,47,1414,195,441,67,205,128,236,110,149,115,288,403,70,20,34,68,133,567
459,Max Strus,SF,26,MIA,80,33,2272,324,790,197,563,127,227,78,89,49,209,258,171,42,12,70,166,923
460,Jalen Suggs,SG,21,ORL,53,19,1246,186,444,66,202,120,242,86,119,55,106,161,155,67,27,94,120,524
461,Edmond Sumner,SG,27,BRK,53,12,736,124,269,31,87,93,182,99,108,13,66,79,68,31,10,50,83,378
462,Cole Swider,SF,23,LAL,7,0,41,3,9,3,8,0,1,0,0,1,6,7,4,0,0,0,3,9
463,Jae'Sean Tate,SF,27,HOU,31,7,677,110,229,13,46,97,183,50,69,41,77,118,84,21,7,47,106,283
464,Jayson Tatum,SF,24,BOS,74,74,2732,727,1559,240,686,487,873,531,622,78,571,649,342,78,51,213,160,2225
465,Terry Taylor,PF,23,TOT,31,2,264,39,75,5,19,34,56,6,11,27,20,47,10,3,6,9,26,89
466,Garrett Temple,SG,36,NOP,25,0,162,18,45,11,26,7,19,3,4,5,12,17,13,9,2,4,15,50
467,Dalen Terry,SG,20,CHI,38,0,214,32,72,7,27,25,45,14,21,12,25,37,22,11,5,8,24,85
468,Daniel Theis,C,30,IND,7,1,109,21,44,2,11,19,33,5,12,7,15,22,9,2,6,3,7,49
469,Cam Thomas,SG,21,BRK,57,4,948,201,456,51,133,150,323,151,174,8,87,95,78,20,7,63,55,604
470,Klay Thompson,SF,32,GSW,69,69,2279,546,1252,301,731,245,521,116,132,39,247,286,163,49,29,123,130,1509
471,JT Thor,PF,20,CHO,69,8,969,95,238,39,123,56,115,33,47,36,116,152,36,22,23,44,66,262
472,Matisse Thybulle,SF-SG,25,TOT,71,28,1200,110,253,54,148,56,105,19,28,40,100,140,53,83,32,24,113,293
473,Xavier Tillman Sr.,C,24,MEM,61,29,1180,188,306,4,15,184,291,49,89,121,186,307,96,58,29,44,97,429
474,Isaiah Todd,PF,21,WAS,6,1,61,3,19,1,10,2,9,2,2,2,10,12,4,1,0,2,4,9
475,Obi Toppin,PF,24,NYK,67,5,1050,187,419,85,247,102,172,38,47,29,158,187,66,23,12,38,68,497
476,Juan Toscano-Anderson,SF,29,TOT,52,9,700,64,143,8,43,56,100,19,24,28,96,124,65,16,10,34,80,155
477,Karl-Anthony Towns,PF,27,MIN,29,29,957,212,428,60,164,152,264,118,135,48,188,236,140,20,17,86,111,602
478,Gary Trent Jr.,SG,24,TOR,66,44,2118,405,935,166,450,239,485,172,205,30,143,173,106,104,14,55,102,1148
479,P.J. Tucker,PF,37,PHI,75,75,1920,96,225,55,140,41,85,19,23,95,200,295,60,39,15,44,180,266
480,Myles Turner,C,26,IND,62,62,1825,402,733,93,249,309,484,216,276,88,378,466,89,36,140,103,215,1113
481,Stanley Umude,SG,23,DET,1,0,2,0,1,0,1,0,0,2,2,0,0,0,0,1,1,0,0,2
