,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
28,Dalano Banton,PG,22,TOR,64,1,696,83,202,13,51,70,151,26,44,38,86,124,99,28,10,53,68,205
29,Cat Barber,PG,27,ATL,3,0,13,0,4,0,0,0,4,0,4,1,2,3,3,0,0,1,1,0
30,Harrison Barnes,PF,29,SAC,77,77,2580,391,834,142,360,249,474,341,413,82,350,432,186,53,14,118,94,1265
31,Scottie Barnes,PF,20,TOR,74,74,2617,459,932,58,193,401,739,158,215,195,362,557,256,80,55,136,192,1134
32,RJ Barrett,SF,21,NYK,70,70,2417,487,1194,138,404,349,790,290,406,66,342,408,208,43,16,151,142,1402
33,Will Barton,SG,31,DEN,71,71,2277,392,896,157,430,235,466,102,127,44,296,340,276,55,31,127,114,1043
34,Paris Bass,SF,26,PHO,2,0,7,2,6,0,2,2,4,2,2,2,2,4,0,1,0,2,2,6
35,Charles Bassey,C,21,PHI,23,0,168,30,47,0,4,30,43,9,12,22,40,62,7,5,17,8,32,69
36,Keita Bates-Diop,SF,26,SAS,59,14,957,136,263,17,55,119,208,46,61,62,169,231,41,27,14,45,61,335
37,Nicolas Batum,PF,33,LAC,59,54,1463,179,387,108,270,71,117,25,38,29,225,254,100,58,42,40,80,491
38,Kent Bazemore,SF,32,LAL,39,14,545,45,139,29,80,16,59,13,17,13,56,69,34,25,9,21,70,132
39,Darius Bazley,PF,21,OKC,69,53,1924,274,649,80,269,194,380,117,170,71,365,436,97,58,70,90,68,745
40,Bradley Beal,SG,28,WAS,40,40,1439,348,771,63,210,285,561,169,203,38,151,189,265,36,15,135,95,928
41,Malik Beasley,SG,25,MIN,79,18,1976,332,850,240,637,92,213,49,60,26,201,227,116,43,12,43,88,953
42,Jordan Bell,C,27,CHI,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0
43,DeAndre' Bembry,SF,27,TOT,56,20,1026,124,221,15,36,109,185,21,35,42,121,163,66,49,25,31,113,284
44,Dāvis Bertāns,PF,29,TOT,56,0,806,99,275,77,230,22,45,36,40,12,105,117,31,17,12,19,85,311
45,Patrick Beverley,PG,33,MIN,58,54,1476,177,436,83,242,94,194,96,133,62,178,240,268,67,52,73,174,533
46,Saddiq Bey,SF,22,DET,82,82,2704,450,1136,211,610,239,526,210,254,107,334,441,233,73,16,96,128,1321
47,Khem Birch,C,29,TOR,55,28,991,97,200,0,14,97,186,53,71,122,117,239,56,30,26,29,104,247
48,Goga Bitadze,C,22,IND,50,16,729,131,252,23,80,108,172,64,94,79,98,177,55,21,42,46,107,349
49,Bismack Biyombo,C,29,PHO,36,3,506,86,145,0,0,86,145,38,71,63,104,167,23,12,26,25,70,210
50,Nemanja Bjelica,C,33,GSW,71,0,1143,160,342,54,149,106,193,59,81,62,232,294,159,41,26,87,128,433
51,Eric Bledsoe,PG,32,LAC,54,29,1361,197,468,51,163,146,305,89,117,28,154,182,225,69,19,116,85,534
52,Keljin Blevins,SF,26,POR,31,1,349,34,111,21,72,13,39,6,11,16,29,45,19,13,1,17,29,95
53,Bogdan Bogdanović,SG,29,ATL,63,27,1848,342,794,169,459,173,335,97,115,29,221,250,194,68,14,70,132,950
54,Bojan Bogdanović,PF,32,UTA,69,69,2131,422,928,181,468,241,460,223,260,58,238,296,120,34,1,118,116,1248
55,Bol Bol,PF,22,DEN,14,0,81,15,27,1,4,14,23,2,5,4,16,20,5,1,2,4,4,33
56,Leandro Bolmaro,SF,21,MIN,35,2,241,17,54,5,18,12,36,11,13,16,27,43,21,6,0,13,26,50
57,Isaac Bonga,SF,22,TOR,15,0,69,3,13,1,4,2,9,5,8,4,3,7,4,8,2,2,10,12
58,Devin Booker,SG,25,PHO,68,68,2345,662,1421,183,478,479,943,315,363,45,297,342,329,77,26,162,180,1822
59,Brandon Boston Jr.,SG,20,LAC,51,0,760,125,325,34,111,91,214,59,72,17,94,111,51,26,13,31,43,343
60,Chris Boucher,SF,29,TOR,80,9,1690,268,577,68,229,200,348,150,193,179,315,494,25,49,75,42,174,754
61,James Bouknight,SG,21,CHO,31,0,304,49,141,17,49,32,92,27,31,22,30,52,26,7,1,15,29,142
62,Avery Bradley,SG,31,LAL,62,45,1406,148,350,82,210,66,140,16,18,31,105,136,47,53,9,38,118,394
63,Tony Bradley,C,24,CHI,55,7,549,72,123,0,0,72,123,19,29,67,119,186,27,10,33,34,62,163
64,Ignas Brazdeikis,SF,23,ORL,42,1,536,81,188,27,87,54,101,21,32,23,49,72,37,10,3,17,48,210
65,Mikal Bridges,SF,25,PHO,82,82,2854,458,858,115,312,343,546,131,157,74,273,347,185,96,36,68,150,1162
66,Miles Bridges,PF,23,CHO,80,80,2837,596,1214,154,465,442,749,267,333,90,469,559,300,74,67,150,193,1613
67,Oshae Brissett,SF,23,IND,67,25,1564,208,506,83,237,125,269,114,164,108,250,358,72,44,29,54,116,613
68,Malcolm Brogdon,PG,29,IND,36,36,1206,243,543,58,186,185,357,143,167,33,152,185,212,30,14,77,71,687
69,Armoni Brooks,SG-PG,23,TOT,54,11,844,98,289,74,249,24,40,18,21,20,83,103,62,28,11,27,74,288
70,Dillon Brooks,SF,26,MEM,32,31,885,227,526,46,149,181,377,90,106,29,73,102,88,36,8,50,105,590
71,Bruce Brown,SF,25,BRK,72,45,1774,256,506,38,94,218,412,97,128,100,245,345,148,77,52,56,176,647
72,Charlie Brown Jr.,SG,24,TOT,22,2,178,10,39,1,12,9,27,9,10,14,18,32,6,10,4,5,18,30
73,Chaundee Brown Jr.,SG-SF,23,TOT,5,2,104,10,32,6,18,4,14,5,6,1,15,16,4,2,0,1,7,31
74,Greg Brown III,SF,20,POR,48,6,640,81,190,19,61,62,129,44,65,38,97,135,35,26,24,36,90,225
75,Jaylen Brown,SF,25,BOS,66,66,2220,576,1217,166,464,410,753,241,318,53,351,404,231,70,18,178,163,1559
76,Moses Brown,C,22,TOT,40,6,344,64,108,0,0,64,108,43,72,39,96,135,1,7,16,20,53,171
77,Sterling Brown,SG,26,DAL,49,3,628,59,155,28,92,31,63,14,15,26,123,149,34,14,7,23,56,160
78,Troy Brown Jr.,SF,22,CHI,66,7,1055,108,258,47,133,61,125,20,26,39,164,203,66,36,5,26,62,283
79,Jalen Brunson,SG,25,DAL,79,61,2524,506,1008,94,252,412,756,179,213,43,266,309,377,66,3,124,151,1285
80,Thomas Bryant,C,24,WAS,27,9,439,77,148,12,42,65,106,35,40,26,82,108,23,6,21,19,43,201
81,Shaq Buchanan,SG,25,MEM,2,0,10,1,4,0,2,1,2,0,0,1,1,2,2,1,0,2,1,2
82,Reggie Bullock,SF,30,DAL,68,37,1902,201,501,141,392,60,109,40,48,33,208,241,83,41,14,40,111,583
83,Trey Burke,PG,29,DAL,42,0,441,84,215,26,82,58,133,20,23,4,29,33,57,12,0,26,39,214
84,Alec Burks,SG,30,NYK,81,44,2318,285,728,157,389,128,339,217,264,47,350,397,239,85,26,91,215,944
85,Jared Butler,SG,21,UTA,42,1,360,61,151,28,88,33,63,11,16,5,40,45,63,17,8,33,47,161
86,Jimmy Butler,SF,32,MIA,57,57,1931,398,829,27,116,371,713,396,455,102,234,336,312,94,27,121,88,1219
87,Devontae Cacok,PF,25,SAS,15,0,121,21,31,0,0,21,31,4,7,8,34,42,6,8,7,3,16,46
88,Kentavious Caldwell-Pope,SG,28,WAS,77,77,2329,361,829,159,408,202,421,137,154,41,220,261,145,83,26,97,139,1018
89,Facundo Campazzo,PG,30,DEN,65,4,1184,107,296,58,193,49,103,60,78,23,94,117,220,63,23,67,124,332
90,Vlatko Čančar,PF,24,DEN,15,1,176,23,41,7,12,16,29,9,14,8,23,31,17,2,3,9,18,62
91,Devin Cannady,PG,25,ORL,5,0,145,15,44,15,37,0,7,5,7,1,5,6,10,5,3,5,9,50
92,Clint Capela,C,27,ATL,74,73,2042,370,604,0,1,370,603,80,169,279,598,877,92,55,93,44,166,820
93,Vernon Carey Jr.,C,20,TOT,7,1,44,7,13,0,0,7,13,6,13,8,4,12,0,2,1,3,4,20
94,Jevon Carter,PG,26,TOT,66,3,905,98,253,66,170,32,83,15,18,14,96,110,96,24,14,34,67,277
95,Wendell Carter Jr.,PF,22,ORL,62,61,1852,359,684,70,214,289,470,143,207,139,509,648,171,36,43,117,169,931
96,Alex Caruso,SG,27,CHI,41,18,1147,102,256,42,126,60,130,58,73,33,115,148,165,71,15,57,106,304
97,Willie Cauley-Stein,C,28,TOT,20,2,183,16,35,1,2,15,33,1,2,13,27,40,10,6,3,7,19,34
98,Ahmad Caver,SG,25,IND,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
99,Justin Champagnie,SF,20,TOR,36,0,281,31,67,10,28,21,39,9,9,37,35,72,11,8,4,8,32,81
100,Zylan Cheatham,SF,26,UTA,1,0,5,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
101,Chris Chiozza,PG,26,GSW,34,1,372,24,81,17,53,7,28,2,3,9,27,36,65,13,0,32,32,67
102,Marquese Chriss,PF,24,DAL,34,0,346,62,134,8,25,54,109,22,33,33,70,103,17,13,12,17,64,154
103,Josh Christopher,SG,20,HOU,74,2,1334,224,500,56,189,168,311,83,113,52,134,186,150,65,13,114,97,587
104,Gary Clark,PF,27,NOP,38,1,378,33,88,28,70,5,18,7,10,23,67,90,18,13,7,10,20,101
105,Brandon Clarke,PF,25,MEM,64,1,1246,288,447,5,22,283,425,85,130,135,207,342,86,39,68,34,122,666
106,Jordan Clarkson,SG,29,UTA,79,1,2141,466,1113,190,597,276,516,144,174,67,206,273,194,66,16,129,149,1266
107,Nic Claxton,C,22,BRK,47,19,974,178,264,0,0,178,264,54,93,91,173,264,43,24,51,38,110,410
108,Amir Coffey,SG,24,LAC,69,30,1567,211,466,96,254,115,212,101,117,26,171,197,124,38,15,45,87,619
109,John Collins,PF,24,ATL,54,53,1663,339,644,64,176,275,468,134,169,93,329,422,98,33,56,60,164,876
110,Zach Collins,C,24,SAS,28,4,502,76,155,14,41,62,114,52,65,46,107,153,61,13,23,45,67,218
111,Darren Collison,PG,34,LAL,3,0,37,2,7,0,3,2,4,0,0,0,4,4,2,1,0,1,5,4
112,Mike Conley,PG,34,UTA,72,72,2058,344,791,169,414,175,377,129,162,47,170,217,385,96,21,123,142,986
113,Pat Connaughton,SF,29,MIL,65,19,1691,227,496,146,370,81,126,45,54,45,228,273,82,59,15,35,86,645
114,Tyler Cook,PF,24,CHI,20,2,200,23,38,0,0,23,38,21,32,16,37,53,3,4,4,7,28,67
115,Sharife Cooper,PG,20,ATL,13,0,39,3,14,1,6,2,8,0,0,0,5,5,5,0,0,5,1,7
116,Petr Cornelie,PF,26,DEN,13,0,38,5,15,1,8,4,7,3,4,7,7,14,3,1,1,4,7,14
117,DeMarcus Cousins,C,31,TOT,48,7,717,149,324,37,122,112,202,95,125,74,196,270,71,35,21,85,139,430
118,Robert Covington,PF,31,TOT,71,42,1939,209,498,128,339,81,159,58,69,59,332,391,92,103,91,75,190,604
119,Torrey Craig,SF,31,TOT,78,16,1596,200,441,77,234,123,207,39,52,86,224,310,91,46,36,67,151,516
120,Jae Crowder,PF,31,PHO,67,67,1886,217,544,127,365,90,179,71,90,30,324,354,124,95,30,55,173,632
121,Jarrett Culver,SG,22,MEM,37,0,338,51,135,12,47,39,88,16,34,13,35,48,33,20,5,20,42,130
122,Jarron Cumberland,SG,24,POR,3,0,12,1,2,0,1,1,1,0,0,1,2,3,1,0,0,0,2,2
123,Cade Cunningham,SG,20,DET,64,64,2088,429,1031,114,363,315,668,142,168,58,296,354,356,78,43,234,200,1114
124,Seth Curry,SG,31,TOT,64,64,2134,360,739,158,374,202,365,82,94,21,179,200,230,53,14,109,148,960
125,Stephen Curry,PG,33,GSW,64,64,2211,535,1224,285,750,250,474,275,298,34,301,335,404,85,23,206,130,1630
126,Anthony Davis,C,28,LAL,40,40,1404,370,695,13,70,357,625,174,244,106,288,394,122,49,90,82,97,927
127,Ed Davis,C,32,CLE,31,3,201,11,16,0,0,11,16,6,14,14,50,64,7,3,9,5,33,28
128,Terence Davis,SG,24,SAC,30,11,536,113,267,49,149,64,118,36,44,11,83,94,40,25,11,33,70,311
129,Gabriel Deck,PF,26,OKC,7,0,56,8,14,2,4,6,10,0,0,1,5,6,5,1,0,2,2,18
130,Dewayne Dedmon,C,32,MIA,67,15,1065,164,290,19,47,145,243,75,100,105,281,386,47,24,42,70,174,422
131,Sam Dekker,PF,27,TOR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Javin DeLaurier,C,23,MIL,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
133,DeMar DeRozan,PF,32,CHI,76,76,2743,774,1535,50,142,724,1393,520,593,56,336,392,374,68,24,181,178,2118
134,Mamadi Diakite,PF,25,OKC,13,3,188,25,47,0,5,25,42,6,11,17,42,59,2,5,9,7,33,56
135,Cheick Diallo,C,25,DET,3,0,31,3,8,0,0,3,8,5,6,4,8,12,0,1,0,1,6,11
136,Hamidou Diallo,SG,23,DET,58,29,1269,261,526,23,93,238,433,91,140,69,208,277,73,71,17,58,143,636
137,Gorgui Dieng,C,32,ATL,44,3,371,53,112,29,68,24,44,19,26,32,89,121,34,11,13,20,52,154
138,Spencer Dinwiddie,PG,28,TOT,67,51,1980,306,735,112,330,194,405,195,252,45,234,279,346,44,13,104,150,919
139,Donte DiVincenzo,SG,25,TOT,42,1,1005,118,336,74,218,44,118,70,83,40,130,170,118,48,8,72,69,380
140,Luka Dončić,PG,22,DAL,65,65,2301,641,1403,201,569,440,834,364,489,56,537,593,568,75,36,292,145,1847
141,Luguentz Dort,SG,22,OKC,51,51,1665,293,726,130,391,163,335,161,191,38,174,212,88,46,18,88,149,877
142,Ayo Dosunmu,SG,22,CHI,77,40,2110,278,535,70,186,208,349,53,78,27,187,214,256,60,29,108,182,679
143,Damyean Dotson,SG,27,NYK,2,0,21,2,4,0,1,2,3,0,0,0,2,2,1,0,0,0,0,4
144,Devon Dotson,PG,22,CHI,11,0,85,11,23,2,9,9,14,5,9,1,8,9,15,1,0,5,11,29
145,Sekou Doumbouya,PF,21,LAL,2,0,16,5,8,1,2,4,6,3,4,2,4,6,0,3,2,2,1,14
146,Jeff Dowtin,PG,24,TOT,9,0,108,8,26,1,9,7,17,2,2,8,10,18,10,5,1,5,5,19
147,PJ Dozier,SG,25,DEN,18,0,340,36,99,15,48,21,51,10,13,14,49,63,29,11,6,13,33,97
148,Goran Dragić,PG,35,TOT,21,8,497,57,151,16,63,41,88,27,33,13,52,65,86,19,4,34,45,157
149,Andre Drummond,C,28,TOT,73,36,1437,247,433,0,3,247,430,86,164,229,451,680,131,78,68,115,192,580
150,Chris Duarte,SG,24,IND,55,39,1541,268,621,94,255,174,366,90,112,41,185,226,114,56,10,90,95,720
151,David Duke Jr.,PG,22,BRK,22,7,341,39,108,9,37,30,71,17,21,30,37,67,17,14,7,9,36,104
152,Kris Dunn,PG,27,POR,14,3,336,44,102,1,11,43,91,17,18,9,40,49,79,23,3,32,38,106
153,Kevin Durant,PF,33,BRK,55,55,2047,578,1115,115,300,463,815,372,409,29,378,407,351,48,52,191,113,1643
154,Jaime Echenique,C,24,WAS,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Anthony Edwards,SG,20,MIN,72,72,2466,549,1245,215,602,334,643,220,280,62,281,343,275,105,46,190,164,1533
156,Carsen Edwards,SG,23,DET,4,0,79,9,30,4,16,5,14,1,1,2,4,6,14,2,0,5,4,23
157,Kessler Edwards,SF,21,BRK,48,23,987,110,267,48,136,62,131,16,19,44,128,172,31,29,24,42,85,284
158,Rob Edwards,SG,25,OKC,2,0,11,1,4,1,4,0,0,0,0,0,3,3,0,0,0,1,0,3
159,CJ Elleby,SF,21,POR,58,28,1174,121,308,37,126,84,182,60,84,66,161,227,87,35,19,56,116,339
160,Wayne Ellington,SG,34,LAL,43,9,810,98,237,82,211,16,26,9,11,10,67,77,30,23,5,19,42,287
161,Joel Embiid,C,27,PHI,68,68,2297,666,1334,93,251,573,1083,654,803,146,650,796,284,77,99,214,181,2079
162,James Ennis III,SF,31,TOT,7,0,56,11,24,3,8,8,16,4,5,5,7,12,3,2,2,2,5,29
163,Drew Eubanks,C,24,TOT,71,31,1245,221,371,5,23,216,348,99,130,130,252,382,85,31,40,81,122,546
164,Tacko Fall,C,26,CLE,11,1,59,5,12,0,0,5,12,2,7,7,16,23,2,0,6,3,3,12
165,Derrick Favors,C,30,OKC,39,18,653,94,182,2,16,92,166,16,25,58,126,184,25,17,12,9,62,206
166,Bruno Fernando,C,23,TOT,30,0,153,36,55,1,2,35,53,15,24,18,37,55,7,1,11,14,24,88
167,Dorian Finney-Smith,PF,28,DAL,80,80,2644,326,692,172,435,154,257,56,83,122,253,375,150,88,39,80,183,880
168,Malik Fitts,PF,24,TOT,15,0,63,8,19,5,10,3,9,0,0,2,15,17,5,0,0,2,4,21
169,Malachi Flynn,PG,23,TOR,44,5,537,72,183,30,90,42,93,15,24,10,53,63,70,20,4,13,45,189
170,Bryn Forbes,SG,28,TOT,75,2,1286,231,539,122,295,109,244,79,87,10,83,93,75,25,5,56,95,663
171,Aleem Ford,SF,24,ORL,5,0,74,6,20,2,15,4,5,0,0,2,13,15,2,1,0,4,7,14
172,Trent Forrest,PG,23,UTA,60,6,765,76,155,5,27,71,128,38,48,23,76,99,106,30,6,48,43,195
173,Evan Fournier,SG,29,NYK,80,80,2358,402,965,241,619,161,346,80,113,34,176,210,171,79,20,105,180,1125
174,De'Aaron Fox,PG,24,SAC,59,59,2084,516,1092,74,249,442,843,261,348,25,206,231,330,68,25,168,172,1367
175,Melvin Frazier,SG,25,OKC,3,0,120,13,48,1,21,12,27,5,7,5,8,13,1,1,0,3,8,32
176,Tim Frazier,PG,31,TOT,12,3,208,14,45,6,17,8,28,5,9,5,14,19,34,3,1,15,27,39
177,Enes Freedom,C,29,BOS,35,1,411,51,97,2,5,49,92,24,28,61,99,160,8,5,14,20,42,128
178,Markelle Fultz,PG,23,ORL,18,3,360,83,175,4,17,79,158,25,31,4,45,49,99,20,5,40,22,195
179,Wenyen Gabriel,PF,24,TOT,26,5,359,54,110,8,28,46,82,25,42,39,58,97,14,5,11,16,68,141
180,Daniel Gafford,C,23,WAS,72,53,1444,285,411,0,1,285,410,107,153,155,252,407,68,30,99,65,170,677
181,Danilo Gallinari,PF,33,ATL,66,18,1672,259,597,112,294,147,303,141,156,35,273,308,101,28,12,38,93,771
182,Langston Galloway,SG,30,TOT,7,0,107,6,26,2,16,4,10,0,0,3,15,18,12,1,0,6,7,14
183,Darius Garland,PG,22,CLE,68,68,2430,542,1173,174,454,368,719,215,241,39,185,224,583,89,7,248,115,1473
184,Marcus Garrett,SG,23,MIA,12,0,128,5,21,1,4,4,17,2,5,9,14,23,7,5,3,2,16,13
185,Usman Garuba,PF,19,HOU,24,2,240,19,44,5,20,14,24,5,7,21,62,83,17,10,11,6,28,48
186,Luka Garza,C,23,DET,32,5,389,66,147,16,49,50,98,38,61,58,42,100,20,9,6,18,55,186
187,Rudy Gay,PF,35,UTA,55,1,1038,157,379,70,203,87,176,62,79,55,187,242,56,25,19,47,95,446
188,Paul George,PF,31,LAC,31,31,1077,268,636,91,257,177,379,127,148,12,201,213,176,67,13,126,74,754
189,Taj Gibson,C,36,NYK,52,4,946,86,166,15,38,71,128,42,52,88,141,229,32,22,40,27,137,229
190,Josh Giddey,SF,19,OKC,54,54,1700,281,670,56,213,225,457,56,79,98,323,421,345,51,20,171,88,674
191,Shai Gilgeous-Alexander,PG,23,OKC,56,56,1942,477,1052,89,297,388,755,328,405,37,241,278,331,71,46,154,142,1371
192,Anthony Gill,PF,29,WAS,44,0,463,62,109,14,26,48,83,42,52,33,52,85,27,5,11,18,58,180
193,Freddie Gillespie,PF,24,ORL,9,2,119,9,22,0,1,9,21,3,7,13,23,36,5,3,9,5,18,21
194,Rudy Gobert,C,29,UTA,66,66,2120,362,508,0,4,362,504,303,439,241,727,968,72,45,137,119,176,1027
195,Brandon Goodwin,PG,26,CLE,36,5,502,64,154,19,55,45,99,24,38,14,53,67,91,25,1,36,39,171
196,Jordan Goodwin,SG,23,WAS,2,0,6,0,3,0,1,0,2,0,0,0,1,1,0,0,0,0,1,0
197,Aaron Gordon,PF,26,DEN,75,75,2376,434,834,87,260,347,574,171,230,125,314,439,188,44,44,133,148,1126
198,Eric Gordon,SG,33,HOU,57,46,1670,268,564,124,301,144,263,105,135,15,98,113,154,28,18,107,63,765
199,Devonte' Graham,PG,26,NOP,76,63,2162,296,815,192,563,104,252,118,140,37,140,177,316,71,12,105,95,902
200,Jerami Grant,PF,27,DET,47,47,1500,298,699,91,254,207,445,217,259,28,163,191,111,44,49,85,107,904
201,Hassani Gravett,PG,25,ORL,8,3,171,18,38,11,26,7,12,3,4,1,20,21,20,5,1,9,13,50
202,Danny Green,SF,34,PHI,62,28,1353,126,320,103,271,23,49,11,14,32,125,157,64,60,37,45,105,366
203,Draymond Green,PF,31,GSW,46,44,1329,135,257,16,54,119,203,60,91,45,291,336,320,61,50,139,136,346
204,Jalen Green,SG,19,HOU,67,67,2138,406,954,157,458,249,496,188,236,33,193,226,176,44,18,135,103,1157
205,JaMychal Green,PF,31,DEN,67,8,1085,159,327,33,124,126,203,81,93,81,200,281,59,43,26,57,158,432
206,Javonte Green,SF,28,CHI,65,45,1519,176,325,36,101,140,224,80,96,91,185,276,60,67,32,30,132,468
207,Jeff Green,PF,35,DEN,75,63,1849,277,529,53,168,224,361,165,198,41,190,231,96,28,27,71,151,772
208,Josh Green,SG,21,DAL,67,3,1039,130,256,28,78,102,178,31,45,52,109,161,79,45,14,44,115,319
209,Blake Griffin,C,32,BRK,56,24,958,133,313,38,145,95,168,55,76,60,168,228,105,27,14,31,95,359
210,Quentin Grimes,SG,21,NYK,46,6,786,95,235,72,189,23,46,13,19,24,70,94,44,31,11,28,72,275
211,Kyle Guy,SG,24,MIA,19,0,186,26,65,14,40,12,25,8,12,4,13,17,17,7,1,13,12,74
212,Rui Hachimura,PF,23,WAS,42,13,943,187,381,55,123,132,258,46,66,25,135,160,48,23,9,33,53,475
213,Tyrese Haliburton,SG-PG,21,TOT,77,77,2694,430,909,161,389,269,520,160,190,61,250,311,628,134,49,199,121,1181
214,Tyler Hall,SG,24,NYK,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,R.J. Hampton,SG,20,ORL,64,14,1402,175,457,64,183,111,274,75,117,23,171,194,158,42,13,87,101,489
216,Tim Hardaway Jr.,SG,29,DAL,42,20,1245,209,530,102,304,107,226,78,103,13,143,156,92,38,6,34,74,598
217,James Harden,PG,32,TOT,65,65,2420,407,992,148,448,259,544,470,536,55,445,500,667,82,36,284,153,1432
218,Maurice Harkless,SF,28,SAC,47,24,863,83,181,31,101,52,80,20,28,12,100,112,23,29,24,31,77,217
219,Jared Harper,PG,24,NOP,5,0,43,14,26,5,12,9,14,4,4,2,0,2,14,4,1,2,5,37
220,Montrezl Harrell,C,28,TOT,71,3,1640,358,555,4,17,354,538,212,296,149,282,431,145,29,43,72,137,932
221,Gary Harris,SG,27,ORL,61,30,1730,240,553,116,302,124,251,83,95,36,86,122,108,59,9,61,112,679
222,Joe Harris,SF,30,BRK,14,14,423,56,124,41,88,15,36,5,6,5,51,56,14,7,2,16,31,158
223,Tobias Harris,PF,29,PHI,73,73,2543,493,1022,101,275,392,747,170,202,77,419,496,252,47,43,116,164,1257
224,Shaquille Harrison,SG,28,BRK,2,0,23,2,6,0,2,2,4,0,0,1,3,4,3,1,1,2,3,4
225,Josh Hart,SG,26,TOT,54,53,1791,287,569,73,213,214,356,160,211,62,326,388,224,61,13,114,150,807
226,Isaiah Hartenstein,C,23,LAC,68,0,1216,229,366,14,30,215,336,91,132,117,215,332,160,50,77,84,167,563
227,Udonis Haslem,C,41,MIA,13,0,83,14,31,1,4,13,27,3,3,4,21,25,4,1,1,5,15,32
