,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Precious Achiuwa,C,22,TOR,73,28,1725,265,603,56,156,209,447,78,131,146,327,473,82,37,41,84,151,664
1,Steven Adams,C,28,MEM,76,75,1999,210,384,0,1,210,383,108,199,349,411,760,256,65,60,115,153,528
2,Bam Adebayo,C,24,MIA,56,56,1825,406,729,0,6,406,723,256,340,137,427,564,190,80,44,148,171,1068
3,Santi Aldama,PF,21,MEM,32,0,360,53,132,6,48,47,84,20,32,33,54,87,21,6,10,16,36,132
4,LaMarcus Aldridge,C,36,BRK,47,12,1050,252,458,14,46,238,412,89,102,73,185,258,42,14,47,44,78,607
5,Nickeil Alexander-Walker,SG,23,TOT,65,21,1466,253,680,105,338,148,342,81,109,37,150,187,156,46,23,93,103,692
6,Grayson Allen,SG,26,MIL,66,61,1805,255,569,159,389,96,180,64,74,32,190,222,100,46,18,43,96,733
7,Jarrett Allen,C,23,CLE,56,56,1810,369,545,1,10,368,535,165,233,192,410,602,92,44,75,94,97,904
8,Jose Alvarado,PG,23,NOP,54,1,834,131,294,32,110,99,184,36,53,25,75,100,152,71,7,40,73,330
9,Justin Anderson,SF,28,TOT,16,6,316,36,95,15,59,21,36,15,19,4,42,46,33,8,6,8,22,102
10,Kyle Anderson,PF,28,MEM,69,11,1484,209,469,36,109,173,360,67,105,69,299,368,183,77,45,71,108,521
11,Giannis Antetokounmpo,PF,27,MIL,67,67,2204,689,1245,71,242,618,1003,553,766,134,644,778,388,72,91,219,212,2002
12,Thanasis Antetokounmpo,SF,29,MIL,48,6,473,70,128,2,14,68,114,29,46,40,61,101,22,16,12,26,68,171
13,Carmelo Anthony,PF,37,LAL,69,3,1793,319,723,149,397,170,326,132,159,62,226,288,68,47,52,59,166,919
14,Cole Anthony,PG,21,ORL,65,65,2059,357,912,132,391,225,521,216,253,32,316,348,369,46,17,170,171,1062
15,OG Anunoby,SF,24,TOR,48,48,1728,309,697,115,317,194,380,89,118,74,190,264,125,71,25,80,131,822
16,Ryan Arcidiacono,PG,27,NYK,10,0,76,6,12,4,9,2,3,0,0,0,8,8,4,1,0,3,5,16
17,Trevor Ariza,SF,36,LAL,24,11,462,33,99,20,74,13,25,10,18,10,72,82,27,13,6,11,20,96
18,D.J. Augustin,PG,34,TOT,55,2,883,94,222,68,164,26,58,38,43,11,57,68,107,17,1,56,39,294
19,Deni Avdija,SF,21,WAS,82,8,1984,250,579,82,259,168,320,103,136,52,373,425,167,59,44,87,190,685
20,Joel Ayayi,SG,21,WAS,7,0,20,1,6,0,1,1,5,0,0,1,2,3,4,0,0,0,0,2
21,Deandre Ayton,C,23,PHO,58,58,1713,442,697,7,19,435,678,106,142,149,444,593,84,40,40,91,142,997
22,Udoka Azubuike,C,22,UTA,17,6,195,37,49,0,0,37,49,6,11,18,53,71,0,1,11,12,25,80
23,Marvin Bagley III,PF,22,TOT,48,25,1153,225,446,23,97,202,349,67,101,105,233,338,36,22,18,39,93,540
24,LaMelo Ball,PG,20,CHO,75,75,2422,538,1254,220,565,318,689,212,243,108,393,501,571,119,30,245,237,1508
25,Lonzo Ball,PG,24,CHI,35,35,1212,162,383,110,260,52,123,21,28,35,155,190,178,64,31,82,85,455
26,Mo Bamba,C,23,ORL,71,69,1824,296,617,107,281,189,336,57,73,148,424,572,85,38,118,77,182,756
27,Desmond Bane,SG,23,MEM,76,76,2266,508,1101,228,523,280,578,140,155,46,288,334,208,92,29,111,196,1384
